C0,C1,C2,C3,C4,TAPS,COEFFICIENT_SUM,COARSE_WORST_PASS_DB,COARSE_WORST_STOP_DB,SEARCH_VECTOR_PEAK,PRECISE_WORST_PASS_DB,PRECISE_WORST_STOP_DB,PASS
-937,-2786,2340,19192,29970,9,65588,0.0179137522158975,70.8089364628386,NaN,0.0179136555637352,70.8083918164942,0
-492,-2734,709,19123,32319,9,65531,0.0179056175025121,70.8044528107835,NaN,0.0176956778704166,70.800157241021,0
-927,-2743,2339,19127,29949,9,65541,0.0219019534870129,72.3929839530865,NaN,0.0216804660004735,72.3922476640498,0
-944,-2669,2416,19089,29868,9,65652,0.0219953686951686,72.389858997373,NaN,0.0219953324543273,72.3891012084613,0
-426,-2769,683,19144,32302,9,65566,0.0220204667856719,71.5889231385589,NaN,0.0218062879187351,71.5888737105487,0
-473,-2670,831,19084,32107,9,65651,0.0222582035845059,72.3932461587637,NaN,0.0220366442759689,72.392514603905,0
-908,-2740,2260,19125,30061,9,65535,0.0222820136161235,72.3932742687498,NaN,0.0220611521017615,72.3925402658828,0
-420,-2765,697,19170,32301,9,65665,0.0222916795958639,72.3825140121978,NaN,0.0222917219512691,72.3818008342528,0
-908,-2722,2218,19146,30170,9,65638,0.0224143711401772,72.3799363739136,NaN,0.0224145369455835,72.3792022931236,0
-876,-2746,2264,19143,30081,9,65651,0.022439805298974,71.8703481047976,NaN,0.0224399837748181,71.8703478614808,0
-477,-2648,820,19070,32127,9,65657,0.0226342327447523,71.2297023552217,NaN,0.0224119943921011,71.2284502847003,0
-522,-2760,916,19168,32049,9,65653,0.0226413306754507,72.3754724265945,NaN,0.0226412444459031,72.374768333196,0
-973,-2793,2296,19197,30136,9,65590,0.0227215359005254,72.3665888612834,NaN,0.0227215221484653,72.3658855053097,0
-917,-2747,2349,19149,29977,9,65645,0.0227384781398284,72.3822883232009,NaN,0.0227384373698388,72.3815470547194,0
-406,-2704,656,19113,32327,9,65645,0.0227495700713637,72.3935496030091,NaN,0.022529295358563,72.3928228992712,0
-953,-2698,2446,19121,29820,9,65652,0.022807765820552,72.3861048072823,NaN,0.0228077622408837,72.3853529916247,0
-924,-2780,2423,19149,29808,9,65544,0.02286521533185,71.2379332545717,NaN,0.0226427730240987,71.2378829745706,0
-984,-2732,2406,19153,29939,9,65625,0.0228860008676769,72.3750749980643,NaN,0.022885936636989,72.3743478363525,0
-890,-2697,2265,19108,30087,9,65659,0.0228870186218709,72.3877066659087,NaN,0.0228869841745386,72.3869544526353,0
